epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6366,1.08755,1.75779,1.36482,0.61972,0.70348,0.60684,0.33779,1.30058,1.93464,1.70132,0.000663507,0.000663507,0.000663507
2,130.838,1.21186,1.40172,1.44942,0.3267,0.63562,0.34958,0.18782,1.47942,2.83133,1.82886,0.00131701,0.00131701,0.00131701
3,192.708,1.22282,1.26913,1.45992,0.64488,0.57172,0.57615,0.31201,1.57939,1.76097,1.92903,0.0019573,0.0019573,0.0019573
4,256.575,1.22322,1.21556,1.46025,0.70294,0.67097,0.68639,0.41023,1.30856,1.48953,1.62727,0.0019406,0.0019406,0.0019406
5,319.01,1.1759,1.1346,1.42706,0.76137,0.71992,0.74832,0.44256,1.30375,1.17057,1.64882,0.0019208,0.0019208,0.0019208
6,381.84,1.15937,1.11225,1.4107,0.8371,0.7743,0.83112,0.52503,1.20045,0.9902,1.56634,0.001901,0.001901,0.001901
7,444.502,1.0989,1.02161,1.37007,0.8221,0.76651,0.81734,0.53913,1.17118,0.991,1.51105,0.0018812,0.0018812,0.0018812
8,508.048,1.09573,1.00037,1.37308,0.74401,0.79538,0.78244,0.51559,1.14891,1.04316,1.49044,0.0018614,0.0018614,0.0018614
9,571.7,1.08498,0.9884,1.3574,0.82317,0.81646,0.84921,0.55141,1.13892,0.90467,1.50472,0.0018416,0.0018416,0.0018416
10,635.244,1.07417,0.97663,1.35271,0.83307,0.80742,0.86644,0.58252,1.11851,0.8172,1.45211,0.0018218,0.0018218,0.0018218
11,697.793,1.05445,0.95421,1.33511,0.8374,0.79473,0.86136,0.5932,1.11898,0.8546,1.4687,0.001802,0.001802,0.001802
12,760.032,1.03981,0.9343,1.3289,0.83852,0.80218,0.87157,0.58957,1.11012,0.80365,1.43855,0.0017822,0.0017822,0.0017822
13,823.104,1.03346,0.90886,1.32645,0.8425,0.81456,0.84661,0.59118,1.08533,0.81416,1.4193,0.0017624,0.0017624,0.0017624
14,885.364,1.00553,0.89129,1.30599,0.84698,0.81655,0.86228,0.59964,1.03238,0.8155,1.40382,0.0017426,0.0017426,0.0017426
15,947.632,0.98281,0.86642,1.29344,0.85042,0.80354,0.86517,0.61061,1.0627,0.79284,1.42728,0.0017228,0.0017228,0.0017228
16,1010.17,0.97971,0.87451,1.29829,0.84061,0.80625,0.85867,0.59719,1.04705,0.83321,1.41924,0.001703,0.001703,0.001703
17,1073.42,0.97098,0.83615,1.28091,0.86592,0.83277,0.88279,0.61148,1.08861,0.76026,1.41741,0.0016832,0.0016832,0.0016832
18,1137.13,0.97423,0.86243,1.288,0.85493,0.82597,0.88215,0.62848,1.0224,0.80709,1.39884,0.0016634,0.0016634,0.0016634
19,1199.56,0.96856,0.8249,1.27565,0.8302,0.83889,0.87387,0.64117,0.97231,0.67439,1.34857,0.0016436,0.0016436,0.0016436
20,1262.26,0.96411,0.81952,1.27843,0.87274,0.83451,0.89287,0.63916,0.99918,0.69772,1.35151,0.0016238,0.0016238,0.0016238
21,1325.91,0.94438,0.80021,1.26219,0.84312,0.85857,0.88945,0.64563,0.99795,0.68816,1.36988,0.001604,0.001604,0.001604
22,1393.45,0.94385,0.78975,1.26106,0.87507,0.83753,0.88965,0.64466,0.96993,0.67366,1.35467,0.0015842,0.0015842,0.0015842
23,1456.02,0.93314,0.79276,1.26024,0.89291,0.83005,0.89765,0.6519,0.98161,0.67175,1.33654,0.0015644,0.0015644,0.0015644
24,1517.72,0.91192,0.77102,1.2483,0.82456,0.84991,0.87994,0.63258,0.99444,0.71482,1.36589,0.0015446,0.0015446,0.0015446
25,1580.23,0.92019,0.78067,1.24751,0.88373,0.82671,0.89105,0.64512,0.96498,0.69077,1.33576,0.0015248,0.0015248,0.0015248
26,1653.05,0.91145,0.76566,1.24362,0.83844,0.81498,0.87482,0.6079,1.06368,0.7543,1.40325,0.001505,0.001505,0.001505
27,1738.08,0.92496,0.77599,1.25624,0.87502,0.82339,0.89264,0.65049,0.96873,0.66532,1.34174,0.0014852,0.0014852,0.0014852
28,1808.66,0.89592,0.74598,1.23818,0.87902,0.82984,0.87771,0.63069,0.98222,0.66343,1.35427,0.0014654,0.0014654,0.0014654
29,1878.45,0.88589,0.72934,1.23582,0.87315,0.82733,0.89106,0.65263,0.96379,0.68052,1.34333,0.0014456,0.0014456,0.0014456
30,1953.11,0.90198,0.72946,1.23089,0.88122,0.83889,0.88397,0.65974,0.94497,0.66287,1.31098,0.0014258,0.0014258,0.0014258
31,2016,0.88262,0.72933,1.21696,0.85847,0.87421,0.89183,0.65307,0.94299,0.65776,1.31859,0.001406,0.001406,0.001406
32,2078.53,0.88352,0.72941,1.22945,0.89657,0.83345,0.90813,0.68202,0.92069,0.60317,1.29966,0.0013862,0.0013862,0.0013862
33,2141.36,0.8737,0.71867,1.21889,0.90622,0.84087,0.9013,0.67152,0.93338,0.61822,1.30584,0.0013664,0.0013664,0.0013664
34,2206.72,0.86637,0.69545,1.20574,0.8896,0.85452,0.90642,0.66886,0.9284,0.61006,1.30234,0.0013466,0.0013466,0.0013466
35,2275.01,0.86427,0.70745,1.20828,0.88061,0.85996,0.90209,0.67551,0.93122,0.62066,1.29867,0.0013268,0.0013268,0.0013268
36,2336.94,0.84653,0.68937,1.19944,0.87408,0.8484,0.89791,0.67127,0.90862,0.62518,1.3005,0.001307,0.001307,0.001307
37,2398.8,0.87069,0.70967,1.21498,0.90282,0.85452,0.91134,0.68544,0.89427,0.60232,1.27944,0.0012872,0.0012872,0.0012872
38,2462.21,0.85557,0.68089,1.2048,0.90344,0.84364,0.9113,0.69341,0.87743,0.59877,1.26096,0.0012674,0.0012674,0.0012674
39,2529.82,0.84199,0.68172,1.20425,0.89299,0.85384,0.90464,0.68446,0.90052,0.61237,1.28396,0.0012476,0.0012476,0.0012476
40,2597.33,0.84066,0.68488,1.195,0.89179,0.82733,0.88633,0.67343,0.89801,0.60744,1.28525,0.0012278,0.0012278,0.0012278
41,2664.73,0.84977,0.67806,1.19526,0.89588,0.85395,0.90514,0.68325,0.90038,0.63237,1.27335,0.001208,0.001208,0.001208
42,2727.61,0.84777,0.66731,1.204,0.8644,0.88647,0.91388,0.69876,0.8737,0.58044,1.26017,0.0011882,0.0011882,0.0011882
43,2790.23,0.81983,0.66159,1.18994,0.89212,0.8489,0.8968,0.67211,0.9067,0.61593,1.29088,0.0011684,0.0011684,0.0011684
44,2852.53,0.83027,0.65646,1.1895,0.8997,0.86268,0.91509,0.68445,0.91331,0.58107,1.29233,0.0011486,0.0011486,0.0011486
45,63.2567,0.82582,0.64472,1.18552,0.89277,0.86034,0.90538,0.69006,0.87395,0.58428,1.25557,0.0011288,0.0011288,0.0011288
46,125.018,0.82383,0.65287,1.18811,0.90694,0.87899,0.91813,0.69364,0.88037,0.56262,1.26185,0.001109,0.001109,0.001109
47,186.689,0.79303,0.62473,1.16208,0.89545,0.85589,0.9148,0.68981,0.88461,0.58618,1.27275,0.0010892,0.0010892,0.0010892
48,248.391,0.80241,0.63472,1.17617,0.89435,0.86896,0.91343,0.69965,0.87948,0.55329,1.27051,0.0010694,0.0010694,0.0010694
49,310.02,0.79901,0.63527,1.17557,0.8771,0.87326,0.90284,0.68787,0.86631,0.59842,1.25855,0.0010496,0.0010496,0.0010496
50,371.798,0.7962,0.6192,1.16732,0.91759,0.8688,0.9167,0.69887,0.8817,0.55758,1.26526,0.0010298,0.0010298,0.0010298
51,433.763,0.7942,0.61519,1.17224,0.87499,0.89451,0.9183,0.70594,0.85284,0.55929,1.24337,0.00101,0.00101,0.00101
52,495.597,0.78421,0.61122,1.16423,0.87617,0.88507,0.91476,0.70366,0.85499,0.56431,1.25098,0.0009902,0.0009902,0.0009902
53,557.407,0.78242,0.62058,1.15957,0.89667,0.89082,0.91546,0.69943,0.87495,0.5458,1.25987,0.0009704,0.0009704,0.0009704
54,619.309,0.78151,0.61622,1.15665,0.90731,0.85847,0.91568,0.70883,0.84885,0.55281,1.23163,0.0009506,0.0009506,0.0009506
55,681.321,0.77293,0.60344,1.14918,0.91273,0.85321,0.91195,0.71117,0.83356,0.53524,1.23008,0.0009308,0.0009308,0.0009308
56,743.235,0.77055,0.60562,1.14882,0.85856,0.90075,0.91593,0.70318,0.85617,0.54918,1.23683,0.000911,0.000911,0.000911
57,805.451,0.76621,0.59483,1.14823,0.91367,0.88375,0.92419,0.71454,0.85463,0.52015,1.24015,0.0008912,0.0008912,0.0008912
58,867.211,0.76942,0.58647,1.14973,0.90359,0.89871,0.92137,0.70739,0.84902,0.53262,1.24655,0.0008714,0.0008714,0.0008714
59,929.068,0.75955,0.57146,1.14323,0.88758,0.89531,0.92162,0.71149,0.85436,0.53405,1.25012,0.0008516,0.0008516,0.0008516
60,990.598,0.74601,0.5793,1.1431,0.89265,0.89318,0.92645,0.72189,0.8249,0.51874,1.22589,0.0008318,0.0008318,0.0008318
61,1051.98,0.73491,0.55293,1.13056,0.90974,0.87703,0.92423,0.72144,0.8282,0.51881,1.22849,0.000812,0.000812,0.000812
62,1113.49,0.74138,0.57884,1.13768,0.91155,0.8722,0.92433,0.71539,0.84102,0.52314,1.23272,0.0007922,0.0007922,0.0007922
63,1174.68,0.74684,0.56619,1.13374,0.91227,0.86245,0.92152,0.72131,0.8284,0.52131,1.22704,0.0007724,0.0007724,0.0007724
64,1236,0.73684,0.56043,1.13513,0.89952,0.88919,0.92592,0.72639,0.82257,0.50904,1.22425,0.0007526,0.0007526,0.0007526
65,1297.23,0.7253,0.54491,1.12143,0.89593,0.89667,0.92122,0.72043,0.81937,0.51397,1.2212,0.0007328,0.0007328,0.0007328
66,1358.38,0.72875,0.54783,1.12167,0.90959,0.89667,0.92856,0.72358,0.8264,0.52054,1.23049,0.000713,0.000713,0.000713
67,1419.81,0.72171,0.55545,1.12109,0.89668,0.90266,0.9311,0.72645,0.82022,0.49854,1.21962,0.0006932,0.0006932,0.0006932
68,1480.86,0.71126,0.53463,1.11951,0.92595,0.85001,0.92137,0.72365,0.81786,0.52308,1.22091,0.0006734,0.0006734,0.0006734
69,1542.08,0.72365,0.54629,1.12338,0.90812,0.87967,0.92167,0.72345,0.8126,0.51412,1.21008,0.0006536,0.0006536,0.0006536
70,1603.53,0.71155,0.53427,1.11218,0.91441,0.88987,0.9289,0.72779,0.81551,0.502,1.21654,0.0006338,0.0006338,0.0006338
71,1664.62,0.71324,0.54144,1.12274,0.91512,0.87955,0.92889,0.72756,0.80358,0.5029,1.20887,0.000614,0.000614,0.000614
72,1726.15,0.69677,0.52068,1.10923,0.91348,0.8828,0.92571,0.72554,0.79656,0.50498,1.21048,0.0005942,0.0005942,0.0005942
73,1787.37,0.68732,0.51145,1.10766,0.9097,0.87627,0.92453,0.72704,0.80103,0.5119,1.21147,0.0005744,0.0005744,0.0005744
74,1848.23,0.69931,0.51542,1.10202,0.90804,0.87967,0.92071,0.7242,0.79895,0.51469,1.20582,0.0005546,0.0005546,0.0005546
75,1909.45,0.68478,0.51484,1.09201,0.91539,0.87831,0.92416,0.72975,0.79621,0.49824,1.21082,0.0005348,0.0005348,0.0005348
76,1970.74,0.68134,0.51381,1.10007,0.90747,0.88987,0.93089,0.73347,0.80173,0.50072,1.20676,0.000515,0.000515,0.000515
77,2032,0.68562,0.50428,1.0998,0.92368,0.88375,0.9321,0.73449,0.79529,0.49988,1.20569,0.0004952,0.0004952,0.0004952
78,2093.28,0.67032,0.49623,1.08477,0.91771,0.87967,0.92424,0.72806,0.79429,0.50154,1.20269,0.0004754,0.0004754,0.0004754
