epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7387,1.0852,1.95445,1.3551,0.67777,0.56988,0.6339,0.3581,1.26785,2.13952,1.6286,0.000659864,0.000659864,0.000659864
2,94.1366,1.23338,1.53644,1.43551,0.41503,0.46133,0.37499,0.18741,1.52539,2.54503,1.75611,0.0013134,0.0013134,0.0013134
3,137.709,1.28079,1.43745,1.47596,0.60153,0.62958,0.62035,0.34137,1.43777,2.11412,1.72432,0.00195373,0.00195373,0.00195373
4,181.823,1.2867,1.32326,1.475,0.51688,0.6038,0.51544,0.27669,1.50189,2.48633,1.75114,0.0019406,0.0019406,0.0019406
5,225.494,1.26601,1.23625,1.448,0.6308,0.62822,0.63654,0.36349,1.40699,1.95772,1.64336,0.0019208,0.0019208,0.0019208
6,269.646,1.23232,1.18173,1.43302,0.76693,0.55088,0.63818,0.37441,1.42183,1.59287,1.72953,0.001901,0.001901,0.001901
7,314.102,1.22108,1.15564,1.42299,0.77056,0.67436,0.74414,0.47327,1.29444,1.23382,1.55986,0.0018812,0.0018812,0.0018812
8,358.732,1.17421,1.11144,1.38971,0.79336,0.72412,0.82772,0.53825,1.1997,1.01955,1.51163,0.0018614,0.0018614,0.0018614
9,402.865,1.15105,1.06693,1.38177,0.7655,0.75441,0.81016,0.51924,1.22165,1.05571,1.52228,0.0018416,0.0018416,0.0018416
10,447.295,1.14432,1.04403,1.37328,0.81262,0.73134,0.81489,0.50369,1.29512,1.14189,1.56723,0.0018218,0.0018218,0.0018218
11,491.564,1.10732,0.98933,1.34663,0.7871,0.76119,0.82942,0.51174,1.28041,0.99567,1.53751,0.001802,0.001802,0.001802
12,536.304,1.11954,0.98473,1.35475,0.83273,0.78562,0.85875,0.57072,1.16127,0.90123,1.43624,0.0017822,0.0017822,0.0017822
13,580.989,1.10825,0.98455,1.35326,0.77677,0.72999,0.76128,0.45034,1.37305,1.1135,1.6563,0.0017624,0.0017624,0.0017624
14,32.1135,1.10987,0.94523,1.34361,0.8109,0.76662,0.84333,0.53775,1.20828,1.06647,1.49154,0.0017426,0.0017426,0.0017426
15,62.307,1.08579,0.93588,1.3259,0.84933,0.78783,0.87637,0.58096,1.15919,0.91074,1.44561,0.0017228,0.0017228,0.0017228
16,93.0185,1.04017,0.87903,1.30435,0.80322,0.80461,0.86447,0.56284,1.23401,0.8812,1.49623,0.001703,0.001703,0.001703
17,123.307,1.051,0.90021,1.31373,0.8313,0.80054,0.86924,0.58007,1.14589,0.85468,1.44343,0.0016832,0.0016832,0.0016832
18,153.879,1.06042,0.89544,1.31148,0.85946,0.78828,0.86294,0.5847,1.14936,0.82466,1.41906,0.0016634,0.0016634,0.0016634
19,184.198,1.0287,0.85611,1.29495,0.83806,0.7517,0.83824,0.58688,1.13115,0.88697,1.40499,0.0016436,0.0016436,0.0016436
20,214.404,1.03216,0.86344,1.28624,0.86773,0.81894,0.88723,0.6008,1.16953,0.76213,1.43874,0.0016238,0.0016238,0.0016238
21,244.74,1.00687,0.82557,1.27924,0.84639,0.78697,0.87176,0.57979,1.21318,0.86141,1.48543,0.001604,0.001604,0.001604
22,274.965,1.00804,0.81668,1.27019,0.84249,0.76929,0.86332,0.56522,1.14405,0.84745,1.42538,0.0015842,0.0015842,0.0015842
23,304.854,0.99927,0.80464,1.27684,0.86969,0.78784,0.85824,0.55503,1.21936,0.88948,1.50415,0.0015644,0.0015644,0.0015644
24,335.099,0.99662,0.81736,1.27029,0.85702,0.82146,0.88385,0.61828,1.06397,0.75313,1.36493,0.0015446,0.0015446,0.0015446
25,365.182,0.97701,0.78105,1.25653,0.8854,0.82818,0.90235,0.62543,1.0804,0.74115,1.36165,0.0015248,0.0015248,0.0015248
26,395.379,1.0027,0.81268,1.25934,0.87109,0.80684,0.88041,0.59363,1.08363,0.81183,1.38693,0.001505,0.001505,0.001505
27,425.747,0.97036,0.78003,1.271,0.87379,0.8114,0.89745,0.62889,1.07277,0.81404,1.34847,0.0014852,0.0014852,0.0014852
28,456.366,0.96915,0.79239,1.24377,0.8725,0.81708,0.8999,0.61611,1.1013,0.78114,1.38097,0.0014654,0.0014654,0.0014654
29,486.437,0.95428,0.78363,1.25099,0.83706,0.84396,0.89374,0.62358,1.0665,0.79389,1.36869,0.0014456,0.0014456,0.0014456
30,516.656,0.95242,0.76275,1.23745,0.88861,0.81183,0.89309,0.60803,1.08797,0.79133,1.38194,0.0014258,0.0014258,0.0014258
31,546.877,0.94293,0.73809,1.23219,0.86777,0.81918,0.88905,0.62229,1.07542,0.72548,1.3645,0.001406,0.001406,0.001406
32,577.174,0.9384,0.72391,1.22925,0.86834,0.82327,0.89702,0.62823,1.06021,0.71336,1.36307,0.0013862,0.0013862,0.0013862
33,607.331,0.93337,0.73282,1.23519,0.84306,0.83091,0.88951,0.62824,1.04113,0.72653,1.35032,0.0013664,0.0013664,0.0013664
34,637.985,0.92421,0.7317,1.22342,0.86346,0.83446,0.89773,0.64453,1.01615,0.68215,1.31522,0.0013466,0.0013466,0.0013466
35,668.578,0.93997,0.73604,1.23788,0.88163,0.84893,0.90822,0.63893,1.05674,0.66558,1.35426,0.0013268,0.0013268,0.0013268
36,699.106,0.90195,0.69738,1.19871,0.90826,0.82497,0.90555,0.64354,1.02934,0.67437,1.31423,0.001307,0.001307,0.001307
37,729.866,0.9239,0.70212,1.21796,0.88002,0.83446,0.91001,0.6366,1.0303,0.71188,1.31568,0.0012872,0.0012872,0.0012872
38,760.718,0.92052,0.72092,1.21429,0.87278,0.86296,0.9177,0.61627,1.0858,0.73689,1.37161,0.0012674,0.0012674,0.0012674
39,791.185,0.89156,0.67398,1.20887,0.89018,0.82225,0.90638,0.6519,1.01583,0.69443,1.31105,0.0012476,0.0012476,0.0012476
40,821.797,0.88228,0.67726,1.20469,0.88707,0.842,0.91304,0.66001,0.99645,0.65788,1.29472,0.0012278,0.0012278,0.0012278
41,852.539,0.88592,0.67628,1.19804,0.90875,0.85889,0.92885,0.67423,0.96901,0.62869,1.2602,0.001208,0.001208,0.001208
42,883.317,0.863,0.65695,1.18838,0.881,0.8639,0.92654,0.64544,1.01604,0.65473,1.30878,0.0011882,0.0011882,0.0011882
43,913.952,0.84744,0.64706,1.18012,0.87742,0.845,0.89097,0.60245,1.06968,0.74077,1.35366,0.0011684,0.0011684,0.0011684
44,944.876,0.88398,0.66268,1.19004,0.89405,0.82441,0.91275,0.65477,0.9855,0.63849,1.29258,0.0011486,0.0011486,0.0011486
45,975.203,0.87108,0.65528,1.18167,0.90535,0.82361,0.92176,0.66273,1.00343,0.65021,1.30772,0.0011288,0.0011288,0.0011288
