epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2522,0.91032,2.06609,2.31216,1.16479,0.97992,0.1291,0.46847,0.35264,0.97992,0.1291,0.47632,0.33381,0.93435,3.17858,2.65436,1.17611,0.0006,0.0006,0.0006
2,27.9249,0.87991,1.29957,1.3869,1.11494,0.65746,0.54762,0.58403,0.41592,0.64811,0.53704,0.55902,0.34544,0.99141,3.51158,2.08777,1.21589,0.00120792,0.00120792,0.00120792
3,40.5763,0.92149,1.3232,1.30559,1.13361,0.60095,0.59259,0.55304,0.3563,0.56395,0.5291,0.46553,0.2523,1.19859,6.00689,1.97072,1.29524,0.00180357,0.00180357,0.00180357
4,53.1971,0.90991,1.34316,1.21173,1.11682,0.36643,0.34656,0.29749,0.20837,0.30143,0.41005,0.28854,0.16915,1.15438,4.08335,2.97135,1.31378,0.0019406,0.0019406,0.0019406
5,65.7205,0.88553,1.27089,1.09263,1.11008,0.50611,0.48526,0.45146,0.29442,0.45065,0.48942,0.40439,0.23177,1.152,4.5295,2.09499,1.2571,0.0019208,0.0019208,0.0019208
6,78.0403,0.85436,1.19828,1.01573,1.08904,0.63803,0.60317,0.6008,0.43601,0.52932,0.5,0.43275,0.21132,1.01935,4.63457,1.97167,1.21964,0.001901,0.001901,0.001901
7,90.3901,0.85802,1.20115,1.02168,1.08921,0.48468,0.64021,0.50111,0.36769,0.47206,0.63492,0.49301,0.33666,0.9508,2.44411,3.0215,1.11946,0.0018812,0.0018812,0.0018812
8,102.84,0.81025,1.13179,0.9293,1.06737,0.70346,0.65608,0.66308,0.50058,0.71161,0.64286,0.65974,0.46251,0.92493,2.07831,1.39253,1.10013,0.0018614,0.0018614,0.0018614
9,115.339,0.79971,1.15418,0.90891,1.06964,0.70717,0.67196,0.69294,0.52012,0.70734,0.67138,0.68367,0.47905,0.91494,2.10795,1.385,1.09245,0.0018416,0.0018416,0.0018416
10,127.824,0.81194,1.18295,0.8849,1.0624,0.78762,0.66931,0.75148,0.57019,0.77042,0.65608,0.73078,0.51558,0.91094,2.08411,1.35988,1.09616,0.0018218,0.0018218,0.0018218
11,140.279,0.79143,1.07153,0.82959,1.06132,0.66667,0.68256,0.68739,0.52708,0.65443,0.68783,0.68822,0.48075,0.86979,1.91927,1.39927,1.06629,0.001802,0.001802,0.001802
12,152.728,0.8063,1.09021,0.8507,1.06283,0.71147,0.67845,0.71365,0.56267,0.70038,0.66786,0.69652,0.49379,0.83295,1.74218,1.5684,1.03704,0.0017822,0.0017822,0.0017822
13,165.06,0.78534,1.04982,0.82481,1.06354,0.7993,0.68783,0.7335,0.56657,0.7993,0.68783,0.73013,0.52914,0.91034,1.69229,1.20548,1.05738,0.0017624,0.0017624,0.0017624
14,177.612,0.76298,1.01931,0.79811,1.0485,0.75649,0.7037,0.74882,0.58826,0.76866,0.69312,0.73463,0.55442,0.81659,1.71363,1.2235,1.05088,0.0017426,0.0017426,0.0017426
15,190.112,0.74781,0.9823,0.7646,1.02994,0.7597,0.70106,0.73993,0.58841,0.7597,0.70106,0.74141,0.57392,0.81683,1.79472,1.30001,1.05382,0.0017228,0.0017228,0.0017228
16,202.564,0.74113,1.03054,0.76962,1.05035,0.79066,0.67196,0.72919,0.56319,0.78131,0.66162,0.71718,0.52704,0.827,1.59323,1.17414,1.05551,0.001703,0.001703,0.001703
17,214.833,0.74589,0.9632,0.73251,1.0475,0.78688,0.72487,0.78975,0.63043,0.78223,0.73545,0.78946,0.58656,0.81273,1.82403,1.06805,1.04747,0.0016832,0.0016832,0.0016832
18,227.335,0.73674,1.03097,0.7376,1.0313,0.79869,0.74521,0.77111,0.61934,0.78917,0.74603,0.76534,0.57955,0.80159,1.73664,1.04966,1.04338,0.0016634,0.0016634,0.0016634
19,239.7,0.69913,0.95083,0.67202,1.00613,0.82612,0.75397,0.79621,0.62931,0.82612,0.75397,0.79599,0.61339,0.81776,1.59595,1.027,1.05729,0.0016436,0.0016436,0.0016436
20,252.089,0.69945,0.96291,0.67041,1.02012,0.77954,0.75926,0.77239,0.62653,0.75154,0.7328,0.74314,0.56308,0.78104,1.71712,1.00516,1.0029,0.0016238,0.0016238,0.0016238
21,264.619,0.71199,0.97067,0.66448,1.00697,0.80451,0.75132,0.77906,0.63531,0.79993,0.75132,0.77214,0.5991,0.76068,1.47699,1.14319,1.00959,0.001604,0.001604,0.001604
22,276.917,0.67689,0.93097,0.65623,1.0051,0.84881,0.72777,0.80168,0.65782,0.84652,0.73016,0.80438,0.63136,0.73902,1.3519,0.96154,0.99188,0.0015842,0.0015842,0.0015842
23,289.448,0.67713,0.96266,0.65196,1.00591,0.78108,0.78344,0.79551,0.64128,0.77734,0.78503,0.79278,0.61418,0.7856,1.34338,0.98312,1.03682,0.0015644,0.0015644,0.0015644
24,301.784,0.67142,0.89342,0.64858,0.99776,0.74982,0.7672,0.78322,0.61846,0.74348,0.78307,0.78867,0.601,0.79263,1.53822,1.0085,1.03603,0.0015446,0.0015446,0.0015446
25,314.386,0.65325,0.92236,0.6422,0.99303,0.86559,0.74074,0.8084,0.65991,0.86477,0.7381,0.80897,0.64508,0.69353,1.45673,0.87729,0.9776,0.0015248,0.0015248,0.0015248
