epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8939,0.7857,1.65251,1.82351,1.16931,0.70486,0.49336,0.55565,0.39256,0.68628,0.45662,0.47215,0.26529,1.05401,4.78194,2.19654,1.23562,0.000657778,0.000657778,0.000657778
2,68.7975,0.84352,1.32137,1.25029,1.19911,0.53313,0.56546,0.53416,0.35652,0.49001,0.47059,0.42585,0.23483,1.09138,4.38277,2.39586,1.31142,0.00131133,0.00131133,0.00131133
3,98.1645,0.91672,1.38745,1.16815,1.23968,0.3806,0.56736,0.35771,0.22331,0.37866,0.55218,0.34263,0.19446,1.21654,3.69894,4.98317,1.53178,0.00195169,0.00195169,0.00195169
4,128.15,0.87309,1.33307,1.05403,1.20669,0.67137,0.57495,0.58585,0.4317,0.65695,0.55599,0.56925,0.38283,1.13619,3.16766,1.80928,1.28804,0.0019406,0.0019406,0.0019406
5,157.407,0.8303,1.23454,0.97922,1.19395,0.71593,0.63188,0.68411,0.48261,0.72189,0.62619,0.67598,0.45635,1.03477,2.21604,1.64306,1.26976,0.0019208,0.0019208,0.0019208
6,186.626,0.82938,1.22985,0.94206,1.17973,0.66362,0.63947,0.65489,0.47373,0.64094,0.62429,0.62411,0.41828,1.02031,1.91421,2.24537,1.24809,0.001901,0.001901,0.001901
7,216.215,0.79885,1.19564,0.90385,1.16176,0.56291,0.4521,0.454,0.31751,0.5419,0.44592,0.43821,0.27201,1.26816,2.43862,2.1511,1.45103,0.0018812,0.0018812,0.0018812
8,244.768,0.76309,1.16986,0.8382,1.13797,0.71945,0.64896,0.71099,0.52493,0.70894,0.63947,0.69627,0.49036,0.88321,1.74602,1.35081,1.12583,0.0018614,0.0018614,0.0018614
9,273.679,0.77242,1.18336,0.84298,1.14528,0.71837,0.6907,0.70805,0.54405,0.71837,0.6907,0.70318,0.49943,0.88576,1.99104,1.3229,1.14106,0.0018416,0.0018416,0.0018416
10,302.595,0.73025,1.09515,0.77508,1.1175,0.76395,0.57685,0.64045,0.50784,0.7671,0.57306,0.6285,0.45831,0.91902,1.82031,1.47377,1.15813,0.0018218,0.0018218,0.0018218
11,333.244,0.7123,1.02949,0.76108,1.10216,0.73773,0.72106,0.73533,0.58195,0.76297,0.67742,0.72496,0.5466,0.84011,1.56513,1.22677,1.08377,0.001802,0.001802,0.001802
12,363.563,0.73681,1.04451,0.7656,1.11512,0.78068,0.64167,0.70386,0.55004,0.77606,0.63787,0.69512,0.52102,0.85722,1.47437,1.23296,1.08978,0.0017822,0.0017822,0.0017822
13,391.984,0.69243,0.9878,0.73422,1.1057,0.77019,0.67173,0.72812,0.58452,0.74784,0.6945,0.72396,0.53554,0.79423,1.51551,1.21627,1.07159,0.0017624,0.0017624,0.0017624
14,421.989,0.68695,1.00649,0.72367,1.08698,0.74394,0.72676,0.74389,0.58611,0.7356,0.72327,0.73813,0.55478,0.85414,1.37529,1.21304,1.08752,0.0017426,0.0017426,0.0017426
15,451.425,0.67755,0.97544,0.70559,1.083,0.80521,0.68241,0.72577,0.58291,0.83288,0.66793,0.72748,0.55352,0.83316,1.5122,1.29188,1.07563,0.0017228,0.0017228,0.0017228
16,479.869,0.67604,0.98555,0.68403,1.08131,0.75092,0.68076,0.70365,0.5606,0.75092,0.68076,0.69985,0.53249,0.79043,1.45531,1.23493,1.0429,0.001703,0.001703,0.001703
17,508.65,0.66168,0.95582,0.68243,1.07394,0.81118,0.70968,0.76505,0.62618,0.80417,0.70778,0.76356,0.59055,0.76866,1.55179,1.09981,1.0448,0.0016832,0.0016832,0.0016832
18,537.478,0.64568,0.91568,0.6685,1.07015,0.81028,0.72296,0.77445,0.63543,0.78557,0.70398,0.74978,0.55454,0.74705,1.66816,1.11932,1.01801,0.0016634,0.0016634,0.0016634
19,566.173,0.68004,0.92431,0.7022,1.10722,0.77998,0.72649,0.75632,0.61645,0.77855,0.72048,0.7537,0.58665,0.77393,1.453,1.14132,1.04058,0.0016436,0.0016436,0.0016436
20,596.931,0.63154,0.9544,0.65242,1.0624,0.75176,0.70398,0.74427,0.60816,0.77418,0.68958,0.73544,0.57422,0.80806,1.38182,1.11771,1.04501,0.0016238,0.0016238,0.0016238
21,637.361,0.64922,0.92051,0.72669,1.07396,0.80634,0.72865,0.75552,0.62971,0.8084,0.72857,0.75404,0.60726,0.71665,1.38045,1.13988,1.02352,0.001604,0.001604,0.001604
22,665.973,0.63555,0.99607,0.65196,1.06882,0.80299,0.68501,0.75414,0.63605,0.79854,0.68121,0.75223,0.61138,0.71957,1.39369,1.07346,0.99751,0.0015842,0.0015842,0.0015842
23,694.63,0.62422,0.90276,0.60547,1.04893,0.80516,0.6907,0.75473,0.62881,0.80782,0.6888,0.75402,0.59542,0.74491,1.42891,1.2005,1.01372,0.0015644,0.0015644,0.0015644
