epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5261,0.80513,1.75972,2.07416,1.14058,0.71969,0.37416,0.47497,0.35346,0.71927,0.36694,0.46761,0.32001,0.86315,2.7153,2.39524,1.08883,0.000651852,0.000651852,0.000651852
2,38.2592,0.8025,1.18447,1.23193,1.129,0.56594,0.42462,0.45383,0.30162,0.56026,0.41206,0.43525,0.25395,1.20369,4.13162,2.19836,1.31729,0.00130547,0.00130547,0.00130547
3,54.8231,0.84548,1.24198,1.19145,1.14594,0.57403,0.48995,0.51825,0.33666,0.52104,0.44472,0.41469,0.23654,1.16242,7.96997,2.12442,1.30668,0.00194588,0.00194588,0.00194588
4,71.6812,0.85144,1.24643,1.11346,1.15762,0.60004,0.57789,0.56312,0.40064,0.59892,0.55529,0.54475,0.33148,1.08655,3.37236,2.88865,1.26574,0.0019406,0.0019406,0.0019406
5,88.3315,0.82532,1.17117,0.98083,1.11876,0.34052,0.39196,0.27743,0.17783,0.33099,0.36432,0.24697,0.1423,1.3339,4.16261,2.92603,1.44006,0.0019208,0.0019208,0.0019208
6,105.748,0.83136,1.21607,0.93589,1.12776,0.74176,0.63819,0.70203,0.50597,0.73521,0.62312,0.67375,0.4255,0.98558,2.40648,1.65218,1.17439,0.001901,0.001901,0.001901
7,122.518,0.7876,1.1264,0.85255,1.10267,0.63884,0.56888,0.58575,0.42582,0.63038,0.56135,0.57857,0.38614,1.02089,2.06427,1.48792,1.12511,0.0018812,0.0018812,0.0018812
8,139.27,0.78969,1.07011,0.85685,1.11153,0.73884,0.71792,0.71494,0.51183,0.73884,0.71792,0.71445,0.48976,1.00563,1.7177,1.6416,1.17984,0.0018614,0.0018614,0.0018614
9,155.893,0.75119,1.07019,0.80357,1.08531,0.79007,0.70101,0.74741,0.58323,0.77789,0.69598,0.73813,0.50741,0.91336,1.98308,1.16227,1.10002,0.0018416,0.0018416,0.0018416
10,172.885,0.75642,1.06268,0.76149,1.0804,0.72341,0.73367,0.75002,0.56709,0.72146,0.73116,0.75156,0.53281,0.90943,1.92657,1.29149,1.10018,0.0018218,0.0018218,0.0018218
11,189.877,0.7102,1.05565,0.7122,1.05223,0.71795,0.76382,0.7388,0.58152,0.69605,0.75377,0.71831,0.53093,0.82747,1.9102,1.15385,1.01491,0.001802,0.001802,0.001802
12,206.888,0.69799,0.97799,0.71546,1.0636,0.75265,0.66516,0.68419,0.53287,0.74706,0.65829,0.67616,0.47064,0.88544,1.89507,1.3274,1.09172,0.0017822,0.0017822,0.0017822
13,223.524,0.68378,1.004,0.71634,1.05188,0.79402,0.75126,0.7721,0.61872,0.79755,0.75377,0.77321,0.5952,0.79949,1.52971,1.15781,1.0251,0.0017624,0.0017624,0.0017624
14,240.001,0.67197,0.9438,0.66456,1.04153,0.77351,0.70101,0.73002,0.59758,0.77916,0.70031,0.73331,0.55593,0.8275,1.51879,1.18003,1.0511,0.0017426,0.0017426,0.0017426
15,256.631,0.65536,0.94053,0.63433,1.02592,0.77135,0.71201,0.73502,0.59913,0.76863,0.7095,0.73378,0.56534,0.80657,1.54345,1.11424,1.02695,0.0017228,0.0017228,0.0017228
16,273.383,0.67064,0.97397,0.65311,1.03052,0.72236,0.72562,0.72205,0.56375,0.72322,0.71561,0.71657,0.51745,0.85021,1.95815,1.30898,1.07202,0.001703,0.001703,0.001703
17,290.101,0.68582,0.92733,0.64087,1.04758,0.80414,0.78399,0.80369,0.65762,0.81323,0.75126,0.79799,0.6082,0.74166,1.57315,1.03469,0.98163,0.0016832,0.0016832,0.0016832
18,306.803,0.65759,0.91699,0.60709,1.0294,0.75054,0.76884,0.74133,0.59942,0.72161,0.74247,0.71128,0.51454,0.74048,1.77173,1.14711,0.9951,0.0016634,0.0016634,0.0016634
